Frame,Frame Time,YMIN,YLOW,YAVG,YHIGH,YMAX,UMIN,ULOW,UAVG,UHIGH,UMAX,VMIN,VLOW,VAVG,VHIGH,VMAX,VDIF,UDIF,YDIF,SATMIN,SATLOW,SATAVG,SATHIGH,SATMAX,HUEMED,HUEAVG,TOUT,VREP,BRNG,VBITDEPTH,UBITDEPTH,YBITDEPTH,psnr mse v,psnr mse u,psnr mse y,psnr psnr v,psnr psnr u,psnr psnr y,psnr mse avg,psnr psnr avg
1,0,4,0,308.942,1023,927,428,496,504.94,512,538,477,498,507.424,513,552,0,0,0,0,2,9.86364,21,89,71,88.089,0.024217,0,0.015409,10,10,10,19.836855,42.191895,2513.075684,47.222786,43.945221,26.195457,1272.045044,29.152489
2,0.0333667,4,131,309.752,608,921,428,496,504.98,512,537,476,499,507.769,514,558,3.41559,4.96636,12.1676,0,2,9.68,21,88,71,90.6784,0.022391,0,0.015378,10,10,10,19.506275,43.334053,3734.214111,47.295769,43.82922,24.475521,1882.817139,27.44943
3,0.0667334,4,132,310.883,610,928,424,496,504.836,512,551,477,498,507.624,514,540,3.37086,4.95113,13.2429,0,2,9.85045,21,91,71,88.3575,0.022031,0,0.015366,10,10,10,19.36941,44.975857,3934.833984,47.326347,43.667717,24.248249,1983.503296,27.223183
4,0.1001001,4,132,310.724,611,935,423,496,504.78,512,538,474,498,507.526,514,544,3.34909,4.90158,15.3419,0,2,9.95884,22,93,71,88.6069,0.020968,0,0.015412,10,10,10,19.296719,43.267353,3825.373291,47.342678,43.835911,24.370775,1928.327759,27.345705
5,0.1334668,4,131,310.531,610,930,428,496,504.841,512,586,476,498,507.5,514,569,3.40554,4.98656,12.4051,0,2,9.96192,22,93,71,88.7756,0.022785,0,0.015478,10,10,10,19.142685,42.261967,2653.342773,47.377483,43.938015,25.959579,1342.022583,28.919914
6,0.1668335,4,131,310.395,607,921,428,496,504.634,512,531,478,499,507.709,514,538,3.36287,4.94647,16.7365,0,2,9.93983,21,89,71,88.8404,0.021091,0,0.015444,10,10,10,18.661739,43.396721,1520.877808,47.487991,43.822945,28.37657,775.953491,31.299156
7,0.2002002,4,132,311.023,608,934,428,496,504.591,512,537,478,499,507.761,514,536,3.32238,4.99223,15.3041,0,2,9.97369,21,89,71,89.4918,0.022828,0,0.015358,10,10,10,18.842569,44.368118,2927.199707,47.44611,43.726803,25.53299,1479.402588,28.496649
8,0.2335669,4,131,311.273,609,933,424,496,504.946,512,539,479,499,507.809,514,550,3.39652,5.05618,10.2234,0,2,9.7502,21,91,71,91.9165,0.022377,0,0.015412,10,10,10,18.532133,43.89336,3469.918213,47.518257,43.773525,24.794321,1750.565552,27.76573
9,0.2669336,4,131,310.8,610,929,422,496,504.71,512,542,476,499,507.631,514,593,3.44408,5.06487,10.0148,0,2,9.98477,21,93,71,88.5099,0.02384,0,0.015421,10,10,10,20.85815,45.363441,3481.937988,47.004753,43.630451,24.779303,1757.524414,27.748499
10,0.3003003,4,131,309.571,608,933,422,496,504.765,512,538,476,499,507.599,513,596,3.40333,4.99396,12.3685,0,2,9.87782,21,93,71,87.9736,0.024126,0,0.015423,10,10,10,19.300297,43.15958,2999.825928,47.341873,43.846741,25.426552,1515.527954,28.391872
11,0.333667,4,64,310.109,965,928,428,496,504.79,512,535,478,498,507.5,513,537,3.43301,5.01963,11.7921,0,2,9.94719,22,89,71,88.4381,0.023811,0,0.015349,10,10,10,18.585779,43.086716,2650.141602,47.505703,43.85408,25.964823,1340.488892,28.924881
12,0.3670337,4,131,310.94,610,922,428,496,505.067,512,536,477,498,507.503,514,538,3.35742,4.90758,12.2586,0,2,9.74991,21,89,71,89.583,0.020462,0,0.015398,10,10,10,20.248274,43.679619,3987.236084,47.133633,43.794724,24.190794,2009.599976,27.166416
13,0.4004004,4,132,311.477,611,936,424,496,505.172,512,533,478,498,507.373,513,537,3.37623,4.8989,15.306,0,2,9.7931,21,92,71,89.8129,0.016895,0,0.015286,10,10,10,20.179756,43.634373,3667.580078,47.148354,43.799225,24.553717,1849.74353,27.526398
14,0.4337671,4,132,310.458,610,934,422,497,505.131,512,557,474,498,507.382,513,602,3.42758,4.84555,15.0427,0,2,9.73171,21,100,70,88.166,0.02007,0,0.015338,10,10,10,19.894455,42.657291,3682.900879,47.210194,43.897579,24.535612,1857.088379,27.509188
15,0.4671338,4,133,311.212,611,931,424,496,505.298,512,532,476,498,507.475,513,558,3.41748,4.9328,14.0674,0,2,9.62247,21,91,71,91.0375,0.022188,0,0.015358,10,10,10,19.321878,42.931938,3448.692871,47.337021,43.869709,24.820967,1739.909912,27.792246
16,0.5005005,4,132,311.511,611,934,423,497,505.536,513,535,474,498,507.586,514,572,3.40465,4.94655,11.4614,0,2,9.4513,21,94,71,92.3462,0.023085,0,0.015358,10,10,10,19.687849,42.673813,2978.398193,47.255531,43.895897,25.457685,1504.789551,28.422754
17,0.5338672,4,131,310.026,609,934,407,497,505.534,512,546,476,498,507.605,514,538,3.3532,4.84138,11.8953,0,2,9.37626,21,107,71,92.0469,0.02382,0,0.015361,10,10,10,18.968634,44.01701,2815.550537,47.417152,43.761307,25.70188,1423.521729,28.663872
18,0.5672339,4,131,310.214,609,933,428,496,505.151,512,572,452,498,507.677,514,538,3.33692,4.84611,12.6115,0,2,9.62504,21,89,71,90.5623,0.018899,0,0.015386,10,10,10,18.979309,43.150501,3798.321777,47.414707,43.847652,24.401596,1914.693359,27.37652
19,0.6006006,4,132,311.33,610,923,424,496,505.094,512,534,478,498,507.673,514,539,3.29437,4.81475,13.4288,0,2,9.64362,21,92,71,90.4996,0.022334,0,0.015372,10,10,10,18.750835,41.521893,2625.485107,47.467308,44.01474,26.005417,1327.810791,28.96615
20,0.6339673,4,132,310.496,609,940,423,496,505.103,512,550,476,499,507.592,514,538,3.37067,4.90065,13.6462,0,2,9.68212,21,91,71,89.9244,0.0235,0,0.015361,10,10,10,18.722519,42.187119,2698.61792,47.473869,43.945713,25.886099,1364.536377,28.847662
21,0.667334,4,132,310.586,1029,936,422,496,504.986,512,538,478,498,507.491,514,536,3.3852,4.92354,16.4888,0,2,9.83348,21,93,71,89.4491,0.024074,0,0.015364,10,10,10,19.982077,43.691265,3132.653564,47.191105,43.793568,25.23839,1582.245117,28.204775
22,0.7007007,4,132,311.426,611,940,422,496,505.062,512,536,476,498,507.615,514,540,3.40981,4.95546,11.4466,0,2,9.68434,21,93,71,89.5224,0.023825,0,0.015375,10,10,10,19.389347,45.438133,3215.444092,47.32188,43.623306,25.125103,1623.928955,28.091843
23,0.7340674,4,0,310.011,608,924,425,496,505.006,512,532,478,498,507.592,513,545,3.33373,4.87782,13.312,0,2,9.72864,21,90,71,89.8223,0.020951,0,0.015441,10,10,10,19.260185,43.037895,3782.224121,47.350906,43.859001,24.42004,1906.686523,27.39472
24,0.7674341,4,130,310.037,609,928,422,497,505.356,512,534,475,499,507.675,514,547,3.36696,4.88171,11.9116,0,2,9.44417,20,94,71,91.0598,0.022582,0,0.015438,10,10,10,19.500721,43.549667,3126.519775,47.297005,43.807663,25.246901,1579.022461,28.213629
25,0.8008008,4,131,310.953,610,939,384,497,505.575,513,543,478,499,507.698,514,536,3.37103,4.89377,9.64296,0,2,9.3329,20,131,71,92.9396,0.023228,0,0.015398,10,10,10,19.480145,45.434166,2916.94165,47.30159,43.623688,25.548235,1474.699341,28.510477
26,0.8341675,4,131,310.484,609,926,424,497,505.641,513,536,470,499,507.608,513,543,3.34821,4.89399,10.2181,0,2,9.33281,20,91,71,93.4476,0.023494,0,0.015409,10,10,10,19.331665,41.479847,3450.010254,47.33482,44.019142,24.819309,1740.208008,27.7915
27,0.8675342,4,131,311.932,611,935,423,497,505.51,513,534,473,499,507.617,514,541,3.3731,4.92399,10.0084,0,2,9.43857,20,92,71,92.4713,0.02288,0,0.015381,10,10,10,19.502651,43.388214,3872.044678,47.296577,43.823795,24.31811,1951.745117,27.293282
28,0.9009009,4,132,313.059,613,932,423,497,505.555,513,537,475,499,507.854,514,552,3.31938,4.8135,13.1741,0,2,9.32562,20,92,72,94.3464,0.021645,0,0.015423,10,10,10,18.899656,43.355339,3836.004883,47.432972,43.827087,24.358721,1933.566162,27.333921
29,0.9342676,4,132,312.262,611,926,424,497,505.262,512,559,478,499,507.762,514,544,3.30901,4.83137,11.1645,0,2,9.4461,20,91,71,90.1738,0.024028,0,0.015412,10,10,10,18.718428,42.075081,2754.395752,47.474819,43.957264,25.797249,1392.39624,28.759884
30,0.9676343,4,131,311.92,610,935,428,497,505.123,512,561,472,499,507.867,514,543,3.30822,4.85708,12.7417,0,2,9.50806,20,88,71,90.3432,0.022694,0,0.015386,10,10,10,18.392752,41.011147,2066.077148,47.551044,44.068493,27.046047,1047.889526,29.994358
31,1.001001,4,131,311.645,610,935,423,497,505.297,512,533,478,499,507.825,514,540,3.35397,4.85649,12.195,0,2,9.42183,20,92,71,91.4628,0.023242,0,0.015415,10,10,10,18.666107,42.074898,3206.943359,47.486977,43.957283,25.1366,1618.656982,28.105965
32,1.0343677,4,131,311.658,611,937,428,496,504.958,512,533,476,499,507.624,513,556,3.39934,4.92035,11.531,0,2,9.74885,21,88,71,89.1295,0.023408,0,0.015423,10,10,10,19.095177,42.428211,3406.137451,47.388275,43.920967,24.874891,1718.449463,27.846146
33,1.0677344,4,132,312.441,612,931,422,496,504.931,512,535,476,499,507.638,514,550,3.36026,4.91457,10.3745,0,2,9.76424,21,94,71,87.4564,0.023828,0,0.015421,10,10,10,19.517204,43.554127,3644.855713,47.293335,43.80722,24.580709,1838.195679,27.553595
