Spreadsheet Row Number,work_image,structure,role,work_type,work_accession_number,file_accession_number,filename,label,description,Capture date,Staff Initials,Container number ex. Box Number,folder number,Width (cm.),Height (cm.),Date (Year+Month+Day),project_job_number,Notes about album page or photo,Production Notes,Creator,Source,Copyright Notice
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0001_01_a,p0386_grea_b01_f01_0001_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0002_01_a,p0386_grea_b01_f01_0002_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0003_01_a,p0386_grea_b01_f01_0003_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0004_01_a,p0386_grea_b01_f01_0004_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0005_01_a,p0386_grea_b01_f01_0005_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0006_01_a,p0386_grea_b01_f01_0006_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0007_01_a,p0386_grea_b01_f01_0007_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0008_01_a,p0386_grea_b01_f01_0008_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0009_01_a,p0386_grea_b01_f01_0009_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0010_01_a,p0386_grea_b01_f01_0010_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0011_01_a,p0386_grea_b01_f01_0011_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0012_01_a,p0386_grea_b01_f01_0012_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0013_01_a,p0386_grea_b01_f01_0013_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0014_01_a,p0386_grea_b01_f01_0014_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0015_01_a,p0386_grea_b01_f01_0015_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f01,p0386_grea_b01_f01_0016_01_a,p0386_grea_b01_f01_0016_01_a.tif,,,,,01,01,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0001_01_a,p0386_grea_b01_f02_0001_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0002_01_a,p0386_grea_b01_f02_0002_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0003_01_a,p0386_grea_b01_f02_0003_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0004_01_a,p0386_grea_b01_f02_0004_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0005_01_a,p0386_grea_b01_f02_0005_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0006_01_a,p0386_grea_b01_f02_0006_01_a.tif,,,,,01,02,,,,p0386,,,,,
