Frame,Frame Time,ymin,ylow,yavg,yhigh,ymax,umin,ulow,uavg,uhigh,umax,vmin,vlow,vavg,vhigh,vmax,vdif,udif,ydif,satmin,satlow,satavg,sathigh,satmax,huemed,hueavg,tout,vrep,brng,vbitdepth,ubitdepth,ybitdepth,psnr mse v,psnr mse u,psnr mse y,psnr psnr v,psnr psnr u,psnr psnr y,psnr mse avg,psnr psnr avg
1,0,4,130,308.942,607,927,428,496,504.94,512,538,477,498,507.424,513,552,0,0,0,0,2,9.86364,21,89,71,88.089,0.024217,0,0.015409,10,10,10,19.83686,42.1919,2513.076,47.22279,43.94522,26.19546,1272.045,29.15249
2,0.033367,4,131,309.752,608,921,428,496,504.98,512,537,476,499,507.769,514,558,3.41559,4.96636,12.1676,0,2,9.68,21,88,71,90.6784,0.022391,0,0.015378,10,10,10,19.50628,43.33405,3734.214,47.29577,43.82922,24.47552,1882.817,27.44943
3,0.066733,4,132,310.883,610,928,424,496,504.836,512,551,477,498,507.624,514,540,3.37086,4.95113,13.2429,0,2,9.85045,21,91,71,88.3575,0.022031,0,0.015366,10,10,10,19.36941,44.97586,3934.834,47.32635,43.66772,24.24825,1983.503,27.22318
4,0.1001,4,132,310.724,611,935,423,496,504.78,512,538,474,498,507.526,514,544,3.34909,4.90158,15.3419,0,2,9.95884,22,93,71,88.6069,0.020968,0,0.015412,10,10,10,19.29672,43.26735,3825.373,47.34268,43.83591,24.37078,1928.328,27.34571
5,0.133467,4,131,310.531,610,930,428,496,504.841,512,586,476,498,507.5,514,569,3.40554,4.98656,12.4051,0,2,9.96192,22,93,71,88.7756,0.022785,0,0.015478,10,10,10,19.14269,42.26197,2653.343,47.37748,43.93802,25.95958,1342.023,28.91991
6,0.166834,4,131,310.395,607,921,428,496,504.634,512,531,478,499,507.709,514,538,3.36287,4.94647,16.7365,0,2,9.93983,21,89,71,88.8404,0.021091,0,0.015444,10,10,10,18.66174,43.39672,1520.878,47.48799,43.82295,28.37657,775.9535,31.29916
7,0.2002,4,132,311.023,608,934,428,496,504.591,512,537,478,499,507.761,514,536,3.32238,4.99223,15.3041,0,2,9.97369,21,89,71,89.4918,0.022828,0,0.015358,10,10,10,18.84257,44.36812,2927.2,47.44611,43.7268,25.53299,1479.403,28.49665
8,0.233567,4,131,311.273,609,933,424,496,504.946,512,539,479,499,507.809,514,550,3.39652,5.05618,10.2234,0,2,9.7502,21,91,71,91.9165,0.022377,0,0.015412,10,10,10,18.53213,43.89336,3469.918,47.51826,43.77353,24.79432,1750.566,27.76573
9,0.266934,4,131,310.8,610,929,422,496,504.71,512,542,476,499,507.631,514,593,3.44408,5.06487,10.0148,0,2,9.98477,21,93,71,88.5099,0.02384,0,0.015421,10,10,10,20.85815,45.36344,3481.938,47.00475,43.63045,24.7793,1757.524,27.7485
10,0.3003,4,131,309.571,608,933,422,496,504.765,512,538,476,499,507.599,513,596,3.40333,4.99396,12.3685,0,2,9.87782,21,93,71,87.9736,0.024126,0,0.015423,10,10,10,19.3003,43.15958,2999.826,47.34187,43.84674,25.42655,1515.528,28.39187
11,0.333667,4,130,310.109,609,928,428,496,504.79,512,535,478,498,507.5,513,537,3.43301,5.01963,11.7921,0,2,9.94719,22,89,71,88.4381,0.023811,0,0.015349,10,10,10,18.58578,43.08672,2650.142,47.5057,43.85408,25.96482,1340.489,28.92488
12,0.367034,4,131,310.94,610,922,428,496,505.067,512,536,477,498,507.503,514,538,3.35742,4.90758,12.2586,0,2,9.74991,21,89,71,89.583,0.020462,0,0.015398,10,10,10,20.24827,43.67962,3987.236,47.13363,43.79472,24.19079,2009.6,27.16642
13,0.4004,4,132,311.477,611,936,424,496,505.172,512,533,478,498,507.373,513,537,3.37623,4.8989,15.306,0,2,9.7931,21,92,71,89.8129,0.016895,0,0.015286,10,10,10,20.17976,43.63437,3667.58,47.14835,43.79923,24.55372,1849.744,27.5264
14,0.433767,4,132,310.458,610,934,422,497,505.131,512,557,474,498,507.382,513,602,3.42758,4.84555,15.0427,0,2,9.73171,21,100,70,88.166,0.02007,0,0.015338,10,10,10,19.89446,42.65729,3682.901,47.21019,43.89758,24.53561,1857.088,27.50919
15,0.467134,4,133,311.212,611,931,424,496,505.298,512,532,476,498,507.475,513,558,3.41748,4.9328,14.0674,0,2,9.62247,21,91,71,91.0375,0.022188,0,0.015358,10,10,10,19.32188,42.93194,3448.693,47.33702,43.86971,24.82097,1739.91,27.79225
16,0.500501,4,132,311.511,611,934,423,497,505.536,513,535,474,498,507.586,514,572,3.40465,4.94655,11.4614,0,2,9.4513,21,94,71,92.3462,0.023085,0,0.015358,10,10,10,19.68785,42.67381,2978.398,47.25553,43.8959,25.45769,1504.79,28.42275
17,0.533867,4,131,310.026,609,934,407,497,505.534,512,546,476,498,507.605,514,538,3.3532,4.84138,11.8953,0,2,9.37626,21,107,71,92.0469,0.02382,0,0.015361,10,10,10,18.96863,44.01701,2815.551,47.41715,43.76131,25.70188,1423.522,28.66387
18,0.567234,4,131,310.214,609,933,428,496,505.151,512,572,452,498,507.677,514,538,3.33692,4.84611,12.6115,0,2,9.62504,21,89,71,90.5623,0.018899,0,0.015386,10,10,10,18.97931,43.1505,3798.322,47.41471,43.84765,24.4016,1914.693,27.37652
19,0.600601,4,132,311.33,610,923,424,496,505.094,512,534,478,498,507.673,514,539,3.29437,4.81475,13.4288,0,2,9.64362,21,92,71,90.4996,0.022334,0,0.015372,10,10,10,18.75084,41.52189,2625.485,47.46731,44.01474,26.00542,1327.811,28.96615
20,0.633967,4,132,310.496,609,940,423,496,505.103,512,550,476,499,507.592,514,538,3.37067,4.90065,13.6462,0,2,9.68212,21,91,71,89.9244,0.0235,0,0.015361,10,10,10,18.72252,42.18712,2698.618,47.47387,43.94571,25.8861,1364.536,28.84766
21,0.667334,4,132,310.586,610,936,422,496,504.986,512,538,478,498,507.491,514,536,3.3852,4.92354,16.4888,0,2,9.83348,21,93,71,89.4491,0.024074,0,0.015364,10,10,10,19.98208,43.69127,3132.654,47.19111,43.79357,25.23839,1582.245,28.20478
22,0.700701,4,132,311.426,611,940,422,496,505.062,512,536,476,498,507.615,514,540,3.40981,4.95546,11.4466,0,2,9.68434,21,93,71,89.5224,0.023825,0,0.015375,10,10,10,19.38935,45.43813,3215.444,47.32188,43.62331,25.1251,1623.929,28.09184
23,0.734067,4,131,310.011,608,924,425,496,505.006,512,532,478,498,507.592,513,545,3.33373,4.87782,13.312,0,2,9.72864,21,90,71,89.8223,0.020951,0,0.015441,10,10,10,19.26019,43.0379,3782.224,47.35091,43.859,24.42004,1906.687,27.39472
24,0.767434,4,130,310.037,609,928,422,497,505.356,512,534,475,499,507.675,514,547,3.36696,4.88171,11.9116,0,2,9.44417,20,94,71,91.0598,0.022582,0,0.015438,10,10,10,19.50072,43.54967,3126.52,47.29701,43.80766,25.2469,1579.022,28.21363
25,0.800801,4,131,310.953,610,939,384,497,505.575,513,543,478,499,507.698,514,536,3.37103,4.89377,9.64296,0,2,9.3329,20,131,71,92.9396,0.023228,0,0.015398,10,10,10,19.48015,45.43417,2916.942,47.30159,43.62369,25.54824,1474.699,28.51048
26,0.834168,4,131,310.484,609,926,424,497,505.641,513,536,470,499,507.608,513,543,3.34821,4.89399,10.2181,0,2,9.33281,20,91,71,93.4476,0.023494,0,0.015409,10,10,10,19.33167,41.47985,3450.01,47.33482,44.01914,24.81931,1740.208,27.7915
27,0.867534,4,131,311.932,611,935,423,497,505.51,513,534,473,499,507.617,514,541,3.3731,4.92399,10.0084,0,2,9.43857,20,92,71,92.4713,0.02288,0,0.015381,10,10,10,19.50265,43.38821,3872.045,47.29658,43.8238,24.31811,1951.745,27.29328
28,0.900901,4,132,313.059,613,932,423,497,505.555,513,537,475,499,507.854,514,552,3.31938,4.8135,13.1741,0,2,9.32562,20,92,72,94.3464,0.021645,0,0.015423,10,10,10,18.89966,43.35534,3836.005,47.43297,43.82709,24.35872,1933.566,27.33392
29,0.934268,4,132,312.262,611,926,424,497,505.262,512,559,478,499,507.762,514,544,3.30901,4.83137,11.1645,0,2,9.4461,20,91,71,90.1738,0.024028,0,0.015412,10,10,10,18.71843,42.07508,2754.396,47.47482,43.95726,25.79725,1392.396,28.75988
30,0.967634,4,131,311.92,610,935,428,497,505.123,512,561,472,499,507.867,514,543,3.30822,4.85708,12.7417,0,2,9.50806,20,88,71,90.3432,0.022694,0,0.015386,10,10,10,18.39275,41.01115,2066.077,47.55104,44.06849,27.04605,1047.89,29.99436
31,1.001001,4,131,311.645,610,935,423,497,505.297,512,533,478,499,507.825,514,540,3.35397,4.85649,12.195,0,2,9.42183,20,92,71,91.4628,0.023242,0,0.015415,10,10,10,18.66611,42.0749,3206.943,47.48698,43.95728,25.1366,1618.657,28.10597
32,1.034368,4,131,311.658,611,937,428,496,504.958,512,533,476,499,507.624,513,556,3.39934,4.92035,11.531,0,2,9.74885,21,88,71,89.1295,0.023408,0,0.015423,10,10,10,19.09518,42.42821,3406.137,47.38828,43.92097,24.87489,1718.449,27.84615
33,1.067734,4,132,312.441,612,931,422,496,504.931,512,535,476,499,507.638,514,550,3.36026,4.91457,10.3745,0,2,9.76424,21,94,71,87.4564,0.023828,0,0.015421,10,10,10,19.5172,43.55413,3644.856,47.29334,43.80722,24.58071,1838.196,27.5536
34,1.101101,4,132,311.513,610,934,423,496,504.902,512,532,478,499,507.769,514,543,3.36064,4.97523,10.7396,0,2,9.68968,21,93,71,90.0839,0.023545,0,0.015429,10,10,10,18.50106,43.86605,3508.384,47.52555,43.77623,24.74644,1769.784,27.71831
