,Frame Time,ubitdepth,ymin,ylow,yavg,yhigh,ymax,umin,ulow,uavg,uhigh,umax,vmin,vlow,vavg,vhigh,vmax,satmin,satlow,satavg,sathigh,satmax,huemed,hueavg,ydif,udif,vdif,ybitdepth,vbitdepth
1,0.0,10.0,4.0,67.0,127.534,201.0,944.0,88.0,469.0,497.068,526.0,721.0,352.0,500.0,516.045,532.0,722.0,0.0,5.0,29.3857,64.0,427.0,113.0,137.589,0.0,0.0,0.0,10.0,10.0
2,0.033,10.0,4.0,66.0,126.079,201.0,941.0,84.0,469.0,497.204,525.0,721.0,380.0,499.0,515.728,532.0,769.0,0.0,5.0,29.2924,63.0,435.0,112.0,137.864,16.2291,15.0909,10.9393,10.0,10.0
3,0.067,10.0,4.0,67.0,127.343,203.0,1019.0,114.0,468.0,496.523,525.0,723.0,352.0,499.0,516.017,533.0,749.0,0.0,5.0,29.9017,64.0,408.0,111.0,136.775,13.295,15.2955,10.8338,10.0,10.0
4,0.1,10.0,4.0,66.0,127.055,202.0,945.0,114.0,468.0,496.65,524.0,732.0,372.0,499.0,515.997,533.0,728.0,0.0,5.0,29.4897,63.0,403.0,112.0,136.968,12.2822,15.0964,10.8751,10.0,10.0
5,0.133,10.0,4.0,66.0,126.749,200.0,963.0,107.0,469.0,496.923,526.0,724.0,372.0,499.0,515.913,532.0,741.0,0.0,5.0,29.4925,63.0,406.0,112.0,137.385,13.2825,15.102,10.8055,10.0,10.0
6,0.167,10.0,4.0,66.0,126.894,201.0,960.0,35.0,469.0,496.915,525.0,746.0,374.0,499.0,516.154,533.0,734.0,0.0,5.0,29.5187,64.0,482.0,112.0,137.46,11.9191,15.1491,10.8679,10.0,10.0
7,0.2,10.0,4.0,64.0,125.433,199.0,946.0,107.0,469.0,496.87,525.0,727.0,386.0,499.0,515.827,532.0,741.0,0.0,5.0,29.4759,63.0,409.0,111.0,137.202,13.8115,15.0696,10.7625,10.0,10.0
8,0.234,10.0,4.0,66.0,126.357,200.0,953.0,108.0,468.0,496.814,525.0,718.0,374.0,499.0,516.081,533.0,735.0,0.0,5.0,29.7972,64.0,408.0,113.0,137.799,13.7458,15.3163,10.8267,10.0,10.0
9,0.267,10.0,4.0,66.0,127.293,201.0,933.0,104.0,468.0,496.726,525.0,721.0,368.0,499.0,516.078,533.0,736.0,0.0,5.0,29.5247,63.0,409.0,112.0,136.824,13.6696,15.2285,10.8668,10.0,10.0
10,0.3,10.0,4.0,66.0,127.288,203.0,1019.0,96.0,469.0,496.742,524.0,719.0,360.0,499.0,515.652,532.0,741.0,0.0,5.0,29.4265,63.0,420.0,111.0,136.454,16.7543,15.2413,10.9494,10.0,10.0
11,0.334,10.0,4.0,66.0,127.556,203.0,936.0,114.0,468.0,496.532,524.0,727.0,377.0,499.0,516.125,533.0,742.0,0.0,5.0,29.6927,63.0,402.0,112.0,136.21,13.6547,15.2031,10.9026,10.0,10.0
12,0.367,10.0,4.0,65.0,126.855,204.0,1019.0,114.0,469.0,496.907,526.0,711.0,370.0,499.0,515.77,532.0,762.0,0.0,5.0,29.6647,64.0,402.0,111.0,137.512,12.9479,15.1227,10.8353,10.0,10.0
13,0.4,10.0,4.0,67.0,127.313,202.0,935.0,106.0,468.0,496.451,525.0,725.0,348.0,499.0,515.927,532.0,776.0,0.0,5.0,29.7604,64.0,407.0,111.0,136.359,15.0578,15.1643,10.7613,10.0,10.0
14,0.434,10.0,4.0,66.0,127.236,202.0,960.0,91.0,468.0,496.598,525.0,716.0,358.0,499.0,516.039,532.0,744.0,0.0,5.0,29.6623,64.0,425.0,112.0,136.815,11.5971,15.0699,10.8894,10.0,10.0
15,0.467,10.0,4.0,67.0,127.59,203.0,962.0,124.0,468.0,496.375,524.0,743.0,380.0,499.0,515.711,532.0,727.0,0.0,6.0,29.6979,63.0,392.0,110.0,135.279,12.331,15.0313,10.8382,10.0,10.0
16,0.501,10.0,4.0,66.0,127.234,202.0,973.0,118.0,469.0,496.373,524.0,724.0,370.0,499.0,515.833,532.0,769.0,0.0,5.0,29.7415,63.0,397.0,111.0,136.21,11.3641,14.9119,10.7359,10.0,10.0
17,0.534,10.0,4.0,66.0,126.611,200.0,1019.0,113.0,469.0,496.692,524.0,723.0,358.0,499.0,515.585,532.0,745.0,0.0,5.0,29.3193,63.0,401.0,110.0,135.665,12.5402,14.9198,10.8355,10.0,10.0
18,0.567,10.0,4.0,67.0,127.011,199.0,1019.0,69.0,469.0,496.731,525.0,713.0,361.0,499.0,515.789,532.0,751.0,0.0,5.0,29.6086,63.0,449.0,111.0,136.466,12.7522,15.0074,10.8186,10.0,10.0
19,0.601,10.0,4.0,67.0,126.844,201.0,937.0,100.0,468.0,496.661,524.0,744.0,348.0,499.0,515.979,532.0,724.0,0.0,5.0,29.4775,63.0,423.0,112.0,136.928,11.9878,14.9675,10.7696,10.0,10.0
20,0.634,10.0,4.0,66.0,126.609,200.0,1019.0,115.0,469.0,496.964,526.0,722.0,359.0,498.0,515.601,532.0,766.0,0.0,5.0,29.5078,63.0,429.0,111.0,136.946,13.528,14.8882,10.8073,10.0,10.0
21,0.667,10.0,4.0,67.0,127.189,200.0,956.0,124.0,469.0,497.078,525.0,748.0,366.0,499.0,516.003,532.0,746.0,0.0,5.0,29.4309,63.0,391.0,112.0,137.444,11.9653,14.9659,10.908,10.0,10.0
22,0.701,10.0,4.0,66.0,126.636,200.0,973.0,74.0,469.0,497.387,526.0,723.0,358.0,499.0,515.649,532.0,752.0,0.0,5.0,29.2815,64.0,442.0,112.0,138.127,12.5656,14.9006,10.7259,10.0,10.0
23,0.734,10.0,4.0,67.0,126.95,200.0,933.0,124.0,468.0,496.919,526.0,756.0,380.0,499.0,515.638,532.0,758.0,0.0,5.0,29.4363,63.0,394.0,111.0,136.474,13.2282,14.8925,10.6351,10.0,10.0
24,0.767,10.0,4.0,66.0,126.628,199.0,944.0,116.0,469.0,496.683,525.0,735.0,372.0,499.0,515.974,532.0,822.0,0.0,5.0,29.6039,63.0,399.0,111.0,137.082,11.3174,14.9436,10.7018,10.0,10.0
25,0.801,10.0,4.0,67.0,127.262,200.0,1019.0,105.0,469.0,496.411,524.0,767.0,384.0,499.0,515.705,532.0,767.0,0.0,5.0,29.5521,63.0,408.0,111.0,135.675,12.5177,14.9119,10.748,10.0,10.0
26,0.834,10.0,4.0,67.0,127.114,200.0,1019.0,81.0,469.0,496.742,525.0,731.0,368.0,500.0,516.311,533.0,783.0,0.0,5.0,29.6696,63.0,433.0,113.0,137.282,11.7191,15.0091,10.938,10.0,10.0
27,0.868,10.0,4.0,64.0,125.028,196.0,943.0,142.0,469.0,496.753,524.0,737.0,352.0,500.0,516.067,532.0,803.0,0.0,5.0,29.3883,63.0,377.0,112.0,137.309,13.7611,15.0581,10.8651,10.0,10.0
28,0.901,10.0,4.0,65.0,125.768,199.0,953.0,124.0,469.0,496.98,526.0,734.0,376.0,499.0,515.969,533.0,792.0,0.0,5.0,29.6515,64.0,415.0,112.0,137.379,12.1017,14.965,10.7504,10.0,10.0
29,0.934,10.0,4.0,66.0,126.143,199.0,948.0,112.0,468.0,497.047,525.0,765.0,374.0,499.0,515.921,532.0,799.0,0.0,5.0,29.5777,64.0,401.0,113.0,137.871,11.6094,15.1151,10.9086,10.0,10.0
30,0.968,10.0,4.0,65.0,126.324,199.0,1019.0,94.0,469.0,497.001,525.0,764.0,375.0,498.0,515.576,532.0,743.0,0.0,5.0,29.5482,64.0,422.0,111.0,137.167,12.1938,15.0341,10.84,10.0,10.0
31,1.001,10.0,4.0,66.0,126.622,199.0,955.0,117.0,468.0,497.036,525.0,779.0,348.0,499.0,516.143,533.0,762.0,0.0,5.0,29.6599,64.0,396.0,113.0,138.417,11.3319,15.0338,10.7634,10.0,10.0
32,1.034,10.0,4.0,65.0,125.651,198.0,961.0,128.0,469.0,496.899,524.0,731.0,352.0,499.0,515.649,532.0,830.0,0.0,5.0,29.3669,63.0,388.0,111.0,137.016,12.3936,15.0187,10.8684,10.0,10.0
33,1.068,10.0,4.0,66.0,125.58,199.0,1019.0,100.0,469.0,497.007,526.0,729.0,351.0,499.0,515.956,532.0,780.0,0.0,5.0,29.3727,63.0,413.0,112.0,137.164,12.9308,14.8355,10.7492,10.0,10.0
34,1.101,10.0,4.0,66.0,126.13,199.0,1019.0,100.0,469.0,497.04,526.0,763.0,355.0,499.0,515.789,532.0,742.0,0.0,5.0,29.6781,64.0,415.0,112.0,137.625,11.8991,15.059,10.7971,10.0,10.0
35,1.134,10.0,4.0,66.0,126.128,199.0,970.0,110.0,469.0,497.323,526.0,723.0,372.0,498.0,515.402,532.0,799.0,0.0,5.0,29.1493,63.0,402.0,111.0,136.416,13.9753,15.1077,10.7636,10.0,10.0
36,1.168,10.0,4.0,66.0,127.19,200.0,958.0,118.0,469.0,497.183,525.0,721.0,357.0,499.0,515.823,532.0,821.0,0.0,5.0,29.3262,63.0,398.0,113.0,137.604,12.4406,15.1033,10.8738,10.0,10.0
37,1.201,10.0,4.0,65.0,126.477,198.0,941.0,108.0,469.0,497.375,526.0,740.0,358.0,498.0,515.43,532.0,756.0,0.0,5.0,29.1873,63.0,404.0,111.0,137.246,12.5894,14.9557,10.7318,10.0,10.0
38,1.235,10.0,4.0,65.0,125.569,200.0,939.0,81.0,469.0,497.359,526.0,726.0,372.0,499.0,515.571,532.0,800.0,0.0,5.0,29.3666,63.0,435.0,111.0,137.646,16.1647,15.0679,10.6162,10.0,10.0
39,1.268,10.0,4.0,65.0,126.137,200.0,1019.0,96.0,469.0,497.3,526.0,723.0,370.0,499.0,515.945,532.0,792.0,0.0,5.0,29.3166,63.0,421.0,113.0,138.676,11.6651,14.9149,10.7341,10.0,10.0
40,1.301,10.0,4.0,66.0,126.471,200.0,1019.0,96.0,468.0,496.94,525.0,728.0,380.0,499.0,515.571,532.0,831.0,0.0,5.0,29.5531,64.0,418.0,111.0,137.339,12.6286,15.0326,10.8357,10.0,10.0
41,1.335,10.0,4.0,66.0,126.622,201.0,944.0,107.0,469.0,496.803,525.0,720.0,381.0,500.0,516.215,533.0,777.0,0.0,5.0,29.573,64.0,406.0,112.0,136.899,11.6375,14.9347,10.7848,10.0,10.0
